Round,Date,Team 1,Team 2,FT,HT
-,-,Hereford United,Port Vale,0-2,-
-,-,Hull City,Port Vale,1-0,-
-,-,Mansfield Town,Port Vale,0-2,-
-,-,Northampton Town,Port Vale,2-2,-
-,-,Peterborough United,Port Vale,0-0,-
-,-,Rochdale,Port Vale,3-3,-
-,-,Scunthorpe United,Port Vale,1-0,-
-,-,Stockport County,Port Vale,0-2,-
-,-,Swindon Town,Port Vale,1-0,-
-,-,Torquay United,Port Vale,0-1,-
-,-,Tranmere Rovers,Port Vale,0-2,-
-,-,Wimbledon,Port Vale,1-0,-
-,-,York City,Port Vale,0-0,-
-,-,Aldershot,Rochdale,6-4,-
-,-,Blackpool,Rochdale,1-0,-
-,-,Bristol City,Rochdale,0-0,-
-,-,Bury,Rochdale,0-0,-
-,-,Chester,Rochdale,5-2,-
-,-,Colchester United,Rochdale,4-1,-
-,-,Crewe Alexandra,Rochdale,1-1,-
-,-,Darlington,Rochdale,3-0,-
-,-,Halifax Town,Rochdale,0-0,-
-,-,Hartlepool United,Rochdale,3-0,-
-,-,Hereford United,Rochdale,1-0,-
-,-,Hull City,Rochdale,2-1,-
-,-,Mansfield Town,Rochdale,2-1,-
-,-,Northampton Town,Rochdale,1-1,-
-,-,Peterborough United,Rochdale,1-0,-
-,-,Port Vale,Rochdale,4-0,-
-,-,Scunthorpe United,Rochdale,1-1,-
-,-,Stockport County,Rochdale,2-2,-
-,-,Swindon Town,Rochdale,4-1,-
-,-,Torquay United,Rochdale,3-2,-
-,-,Tranmere Rovers,Rochdale,0-0,-
-,-,Wimbledon,Rochdale,3-0,-
-,-,York City,Rochdale,1-0,-
-,-,Aldershot,Scunthorpe United,1-1,-
-,-,Blackpool,Scunthorpe United,3-1,-
-,-,Bristol City,Scunthorpe United,0-2,-
-,-,Bury,Scunthorpe United,1-0,-
-,-,Chester,Scunthorpe United,1-2,-
-,-,Colchester United,Scunthorpe United,5-1,-
-,-,Crewe Alexandra,Scunthorpe United,0-1,-
-,-,Darlington,Scunthorpe United,0-1,-
-,-,Halifax Town,Scunthorpe United,3-1,-
-,-,Hartlepool United,Scunthorpe United,0-0,-
-,-,Hereford United,Scunthorpe United,0-2,-
-,-,Hull City,Scunthorpe United,1-1,-
-,-,Mansfield Town,Scunthorpe United,0-2,-
-,-,Northampton Town,Scunthorpe United,2-1,-
-,-,Peterborough United,Scunthorpe United,0-1,-
-,-,Port Vale,Scunthorpe United,0-1,-
-,-,Rochdale,Scunthorpe United,0-1,-
-,-,Stockport County,Scunthorpe United,1-1,-
-,-,Swindon Town,Scunthorpe United,2-2,-
-,-,Torquay United,Scunthorpe United,1-1,-
-,-,Tranmere Rovers,Scunthorpe United,0-4,-
-,-,Wimbledon,Scunthorpe United,2-2,-
-,-,York City,Scunthorpe United,2-1,-
-,-,Aldershot,Stockport County,2-1,-
-,-,Blackpool,Stockport County,0-0,-
-,-,Bristol City,Stockport County,2-2,-
-,-,Bury,Stockport County,3-2,-
-,-,Chester,Stockport County,0-2,-
-,-,Colchester United,Stockport County,3-0,-
-,-,Crewe Alexandra,Stockport County,3-0,-
-,-,Darlington,Stockport County,3-1,-
-,-,Halifax Town,Stockport County,1-0,-
-,-,Hartlepool United,Stockport County,3-2,-
-,-,Hereford United,Stockport County,0-0,-
-,-,Hull City,Stockport County,7-0,-
-,-,Mansfield Town,Stockport County,1-0,-
-,-,Northampton Town,Stockport County,2-3,-
-,-,Peterborough United,Stockport County,1-0,-
-,-,Port Vale,Stockport County,2-3,-
-,-,Rochdale,Stockport County,1-0,-
-,-,Scunthorpe United,Stockport County,3-0,-
-,-,Swindon Town,Stockport County,2-0,-
-,-,Torquay United,Stockport County,3-0,-
-,-,Tranmere Rovers,Stockport County,1-1,-
-,-,Wimbledon,Stockport County,2-1,-
-,-,York City,Stockport County,3-1,-
-,-,Aldershot,Swindon Town,1-1,-
-,-,Blackpool,Swindon Town,2-1,-
-,-,Bristol City,Swindon Town,1-1,-
-,-,Bury,Swindon Town,0-0,-
-,-,Chester,Swindon Town,0-1,-
-,-,Colchester United,Swindon Town,1-0,-
-,-,Crewe Alexandra,Swindon Town,3-0,-
-,-,Darlington,Swindon Town,1-0,-
-,-,Halifax Town,Swindon Town,1-0,-
-,-,Hartlepool United,Swindon Town,1-2,-
-,-,Hereford United,Swindon Town,1-2,-
-,-,Hull City,Swindon Town,0-0,-
-,-,Mansfield Town,Swindon Town,1-0,-
-,-,Northampton Town,Swindon Town,0-1,-
-,-,Peterborough United,Swindon Town,4-3,-
-,-,Port Vale,Swindon Town,3-0,-
-,-,Rochdale,Swindon Town,1-1,-
-,-,Scunthorpe United,Swindon Town,2-0,-
-,-,Stockport County,Swindon Town,1-2,-
-,-,Torquay United,Swindon Town,1-1,-
-,-,Tranmere Rovers,Swindon Town,2-0,-
-,-,Wimbledon,Swindon Town,0-0,-
-,-,York City,Swindon Town,0-0,-
-,-,Aldershot,Torquay United,2-1,-
-,-,Blackpool,Torquay United,1-0,-
-,-,Bristol City,Torquay United,0-1,-
-,-,Bury,Torquay United,3-0,-
-,-,Chester,Torquay United,0-0,-
-,-,Colchester United,Torquay United,1-0,-
-,-,Crewe Alexandra,Torquay United,1-1,-
-,-,Darlington,Torquay United,0-2,-
-,-,Halifax Town,Torquay United,3-0,-
-,-,Hartlepool United,Torquay United,0-2,-
-,-,Hereford United,Torquay United,0-1,-
-,-,Hull City,Torquay United,4-1,-
-,-,Mansfield Town,Torquay United,2-1,-
-,-,Northampton Town,Torquay United,2-0,-
-,-,Peterborough United,Torquay United,1-3,-
-,-,Port Vale,Torquay United,1-0,-
-,-,Rochdale,Torquay United,2-2,-
-,-,Scunthorpe United,Torquay United,2-0,-
-,-,Stockport County,Torquay United,1-0,-
-,-,Swindon Town,Torquay United,2-1,-
-,-,Tranmere Rovers,Torquay United,2-0,-
-,-,Wimbledon,Torquay United,4-1,-
-,-,York City,Torquay United,1-1,-
-,-,Aldershot,Tranmere Rovers,1-0,-
-,-,Blackpool,Tranmere Rovers,0-2,-
-,-,Bristol City,Tranmere Rovers,1-0,-
-,-,Bury,Tranmere Rovers,3-0,-
-,-,Chester,Tranmere Rovers,0-0,-
-,-,Colchester United,Tranmere Rovers,3-3,-
-,-,Crewe Alexandra,Tranmere Rovers,0-1,-
-,-,Darlington,Tranmere Rovers,1-0,-
-,-,Halifax Town,Tranmere Rovers,1-2,-
-,-,Hartlepool United,Tranmere Rovers,4-0,-
-,-,Hereford United,Tranmere Rovers,1-0,-
-,-,Hull City,Tranmere Rovers,0-1,-
-,-,Mansfield Town,Tranmere Rovers,1-1,-
-,-,Northampton Town,Tranmere Rovers,1-0,-
-,-,Peterborough United,Tranmere Rovers,3-0,-
-,-,Port Vale,Tranmere Rovers,0-1,-
