Round,Date,Team 1,FT,HT,Team 2
?,(Sat) 1 Jan 1938 (0),Halifax Town (14),1-1,?,Chester FC (30)
?,(Sat) 20 Nov 1937 (46),Halifax Town (15),2-1,?,Crewe Alexandra (30)
?,(Sat) 6 Nov 1937 (44),Halifax Town (16),1-0,?,Darlington FC (30)
?,(Mon) 18 Apr 1938 (16),Halifax Town (17),0-1,?,Doncaster Rovers (30)
?,(Sat) 23 Oct 1937 (42),Halifax Town (18),2-0,?,Gateshead FC (30)
?,(Sat) 23 Apr 1938 (16),Halifax Town (19),0-0,?,Hartlepool United (10)
?,(Sat) 18 Sep 1937 (37),Halifax Town (20),1-0,?,Hull City (10)
?,(Mon) 25 Apr 1938 (17),Halifax Town (21),2-0,?,Lincoln City (10)
?,(Sat) 26 Feb 1938 (8),Halifax Town (22),2-0,?,New Brighton (10)
?,(Sat) 12 Mar 1938 (10),Halifax Town (23),2-1,?,Oldham Athletic (10)
?,(Sat) 26 Mar 1938 (12),Halifax Town (24),2-1,?,Port Vale FC (10)
?,(Mon) 13 Sep 1937 (37),Halifax Town (25),2-3,?,Rochdale AFC (10)
?,(Mon) 30 Aug 1937 (35),Halifax Town (26),1-3,?,Rotherham United (10)
?,(Mon) 27 Dec 1937 (52),Halifax Town (27),1-1,?,Southport FC (10)
?,(Sat) 25 Sep 1937 (38),Halifax Town (28),1-0,?,Tranmere Rovers (10)
?,(Sat) 4 Dec 1937 (48),Halifax Town (29),0-0,?,Wrexham AFC (10)
?,(Mon) 14 Feb 1938 (7),Halifax Town (30),2-2,?,York City (10)
?,(Wed) 1 Sep 1937 (35),Hartlepool United (11),2-0,?,Accrington Stanley (31)
?,(Fri) 15 Apr 1938 (15),Hartlepool United (12),1-1,?,Barrow AFC (31)
?,(Sat) 2 Apr 1938 (13),Hartlepool United (13),1-1,?,Bradford City (31)
?,(Sat) 30 Apr 1938 (17),Hartlepool United (14),4-1,?,Carlisle United (31)
?,(Sat) 16 Oct 1937 (41),Hartlepool United (15),0-1,?,Chester FC (31)
?,(Sat) 25 Dec 1937 (51),Hartlepool United (16),2-2,?,Crewe Alexandra (31)
?,(Sat) 2 Oct 1937 (39),Hartlepool United (17),2-1,?,Darlington FC (31)
?,(Sat) 19 Mar 1938 (11),Hartlepool United (18),0-0,?,Doncaster Rovers (31)
?,(Sat) 18 Sep 1937 (37),Hartlepool United (19),1-3,?,Gateshead FC (31)
?,(Wed) 4 May 1938 (18),Hartlepool United (20),2-0,?,Halifax Town (31)
?,(Sat) 4 Sep 1937 (35),Hartlepool United (21),2-2,?,Hull City (11)
?,(Sat) 1 Jan 1938 (0),Hartlepool United (22),2-0,?,Lincoln City (11)
?,(Wed) 2 Feb 1938 (5),Hartlepool United (23),1-0,?,New Brighton (11)
?,(Sat) 5 Feb 1938 (5),Hartlepool United (24),2-0,?,Oldham Athletic (11)
?,(Sat) 19 Feb 1938 (7),Hartlepool United (25),2-1,?,Port Vale FC (11)
?,(Sat) 30 Oct 1937 (43),Hartlepool United (26),3-3,?,Rochdale AFC (11)
?,(Sat) 5 Mar 1938 (9),Hartlepool United (27),4-0,?,Rotherham United (11)
?,(Sat) 13 Nov 1937 (45),Hartlepool United (28),1-2,?,Southport FC (11)
?,(Sat) 16 Apr 1938 (15),Hartlepool United (29),2-2,?,Tranmere Rovers (11)
?,(Sat) 7 May 1938 (18),Hartlepool United (30),2-0,?,Wrexham AFC (11)
?,(Wed) 12 Jan 1938 (2),Hartlepool United (31),0-0,?,York City (11)
?,(Sat) 5 Mar 1938 (9),Hull City (12),0-0,?,Accrington Stanley (32)
?,(Mon) 6 Sep 1937 (36),Hull City (13),4-0,?,Barrow AFC (32)
?,(Sat) 16 Apr 1938 (15),Hull City (14),2-2,?,Bradford City (32)
?,(Sat) 16 Oct 1937 (41),Hull City (15),2-1,?,Carlisle United (32)
?,(Sat) 30 Oct 1937 (43),Hull City (16),2-2,?,Chester FC (32)
?,(Sat) 7 May 1938 (18),Hull City (17),1-1,?,Crewe Alexandra (32)
?,(Mon) 27 Dec 1937 (52),Hull City (18),4-0,?,Darlington FC (32)
?,(Sat) 2 Apr 1938 (13),Hull City (19),2-1,?,Doncaster Rovers (32)
