Date,Team 1,Team 2,FT
-,Burnley,Preston North End,2-2
-,Cardiff City,Preston North End,2-5
-,Charlton Athletic,Preston North End,0-4
-,Chelsea,Preston North End,0-1
-,Everton,Preston North End,1-0
-,Huddersfield Town,Preston North End,0-4
-,Leicester City,Preston North End,0-1
-,Manchester City,Preston North End,3-1
-,Manchester United,Preston North End,2-1
-,Newcastle United,Preston North End,3-3
-,Portsmouth,Preston North End,2-0
-,Sheffield United,Preston North End,0-5
-,Sheffield Wednesday,Preston North End,2-0
-,Sunderland,Preston North End,2-1
-,Tottenham Hotspur,Preston North End,3-1
-,West Bromwich Albion,Preston North End,2-0
-,Wolverhampton Wanderers,Preston North End,1-1
-,Arsenal,Sheffield United,4-0
-,Aston Villa,Sheffield United,3-1
-,Blackpool,Sheffield United,1-2
-,Bolton Wanderers,Sheffield United,1-0
-,Burnley,Sheffield United,2-1
-,Cardiff City,Sheffield United,1-1
-,Charlton Athletic,Sheffield United,3-1
-,Chelsea,Sheffield United,1-1
-,Everton,Sheffield United,2-3
-,Huddersfield Town,Sheffield United,1-2
-,Leicester City,Sheffield United,0-1
-,Manchester City,Sheffield United,5-2
-,Manchester United,Sheffield United,5-0
-,Newcastle United,Sheffield United,1-2
-,Portsmouth,Sheffield United,6-2
-,Preston North End,Sheffield United,1-2
-,Sheffield Wednesday,Sheffield United,1-2
-,Sunderland,Sheffield United,2-2
-,Tottenham Hotspur,Sheffield United,5-0
-,West Bromwich Albion,Sheffield United,3-3
-,Wolverhampton Wanderers,Sheffield United,4-1
-,Arsenal,Sheffield Wednesday,3-2
-,Aston Villa,Sheffield Wednesday,0-0
-,Blackpool,Sheffield Wednesday,2-1
-,Bolton Wanderers,Sheffield Wednesday,2-2
-,Burnley,Sheffield Wednesday,2-0
-,Cardiff City,Sheffield Wednesday,5-3
-,Charlton Athletic,Sheffield Wednesday,3-0
-,Chelsea,Sheffield Wednesday,3-0
-,Everton,Sheffield Wednesday,3-1
-,Huddersfield Town,Sheffield Wednesday,3-0
-,Leicester City,Sheffield Wednesday,4-3
-,Manchester City,Sheffield Wednesday,2-2
-,Manchester United,Sheffield Wednesday,2-0
-,Newcastle United,Sheffield Wednesday,5-0
-,Portsmouth,Sheffield Wednesday,2-1
-,Preston North End,Sheffield Wednesday,6-0
-,Sheffield United,Sheffield Wednesday,1-0
-,Sunderland,Sheffield Wednesday,2-0
-,Tottenham Hotspur,Sheffield Wednesday,7-2
-,West Bromwich Albion,Sheffield Wednesday,1-2
-,Wolverhampton Wanderers,Sheffield Wednesday,4-2
-,Arsenal,Sunderland,1-3
-,Aston Villa,Sunderland,2-2
-,Blackpool,Sunderland,0-0
-,Bolton Wanderers,Sunderland,3-0
-,Burnley,Sunderland,0-1
-,Cardiff City,Sunderland,0-1
-,Charlton Athletic,Sunderland,1-3
-,Chelsea,Sunderland,2-1
-,Everton,Sunderland,1-0
-,Huddersfield Town,Sunderland,1-1
-,Leicester City,Sunderland,1-1
-,Manchester City,Sunderland,1-0
-,Manchester United,Sunderland,2-2
-,Newcastle United,Sunderland,1-2
-,Portsmouth,Sunderland,2-2
-,Preston North End,Sunderland,3-1
-,Sheffield United,Sunderland,1-0
-,Sheffield Wednesday,Sunderland,1-2
-,Tottenham Hotspur,Sunderland,0-1
-,West Bromwich Albion,Sunderland,2-2
-,Wolverhampton Wanderers,Sunderland,2-0
-,Arsenal,Tottenham Hotspur,2-0
-,Aston Villa,Tottenham Hotspur,2-4
-,Blackpool,Tottenham Hotspur,5-1
-,Bolton Wanderers,Tottenham Hotspur,1-2
-,Burnley,Tottenham Hotspur,1-2
